ID,Name,Email,City,State,Mobile,Purchase_Count,Last_Purchase_Date,Feedback_Score
1,Anika Bose,anika.bose391@gmail.com,Bangalore,Tamil Nadu,9500921928,2,2024-10-25,2
2,Vihaan Kapoor,vihaan.kapoor920@gmail.com,Bhubaneswar,Odisha,9992784811,0,2025-08-15,5
3,Anika Thakur,anika.thakur47@gmail.com,Pune,Karnataka,9929428402,4,2024-05-31,8
4,Krishna Pillai,krishna.pillai593@gmail.com,Kolkata,Telangana,9119625114,1,2024-01-19,6
5,Aadhya Singh,aadhya.singh464@gmail.com,Bangalore,Tamil Nadu,9264618209,44,2025-09-12,6
6,Sai Kapoor,sai.kapoor813@gmail.com,Chandigarh,Haryana,9369380483,39,2024-06-11,1
7,Diya Ghosh,diya.ghosh192@gmail.com,Chandigarh,Haryana,9941276921,23,2025-02-11,5
8,Rohan Gupta,rohan.gupta681@gmail.com,Indore,Uttar Pradesh,9996435395,42,2024-07-05,5
9,Vihaan Joshi,vihaan.joshi475@gmail.com,Chandigarh,Haryana,9591041385,40,2024-02-09,5
10,Krishna Yadav,krishna.yadav971@gmail.com,Kochi,Rajasthan,9106332836,49,2024-06-29,10
11,Ananya Singh,ananya.singh511@gmail.com,Kolkata,Telangana,9437080746,31,2025-09-29,10
12,Diya Gupta,diya.gupta643@gmail.com,Kochi,Rajasthan,9990295839,36,2023-12-31,4
13,Aadhya Sharma,aadhya.sharma357@gmail.com,Kolkata,Telangana,9790534715,19,2024-05-03,8
14,Anika Nair,anika.nair251@gmail.com,Bangalore,Tamil Nadu,9184613412,50,2024-08-07,7
15,Krishna Bose,krishna.bose286@gmail.com,Bhubaneswar,Odisha,9944249340,27,2023-11-27,7
16,Sai Mishra,sai.mishra218@gmail.com,Patna,Bihar,9538094713,50,2024-02-08,7
17,Vivaan Verma,vivaan.verma282@gmail.com,Patna,Bihar,9346467298,18,2025-03-17,5
18,Ishaan Das,ishaan.das160@gmail.com,Lucknow,West Bengal,9898750826,18,2025-04-21,10
19,Vivaan Ghosh,vivaan.ghosh249@gmail.com,Patna,Bihar,9623635151,48,2025-06-25,4
20,Vihaan Nair,vihaan.nair183@gmail.com,Kochi,Rajasthan,9295729074,25,2023-12-25,4
21,Aditya Mishra,aditya.mishra473@gmail.com,Lucknow,West Bengal,9944908361,19,2025-03-05,5
22,Priya Patel,priya.patel37@gmail.com,Jaipur,Punjab,9274668707,12,2025-01-20,4
23,Vivaan Gupta,vivaan.gupta129@gmail.com,Kolkata,Telangana,9735561570,21,2024-09-19,5
24,Vivaan Singh,vivaan.singh742@gmail.com,Nagpur,Maharashtra,9370673129,20,2025-08-22,9
25,Riya Thakur,riya.thakur23@gmail.com,Chandigarh,Haryana,9582352618,37,2023-12-29,10
26,Rohan Gupta,rohan.gupta521@gmail.com,Mumbai,Gujarat,9300549201,33,2025-02-15,4
27,Riya Reddy,riya.reddy666@gmail.com,Bangalore,Tamil Nadu,9963098083,2,2024-01-10,7
28,Vivaan Verma,vivaan.verma280@gmail.com,Chandigarh,Haryana,9539193153,35,2023-10-18,2
29,Kavya Rana,kavya.rana326@gmail.com,Bangalore,Tamil Nadu,9809122379,49,2024-02-28,4
30,Kavya Das,kavya.das938@gmail.com,Pune,Karnataka,9911136846,21,2024-04-02,8
31,Vihaan Verma,vihaan.verma89@gmail.com,Jaipur,Punjab,9838220530,0,2023-11-01,4
32,Vivaan Verma,vivaan.verma400@gmail.com,Bhubaneswar,Odisha,9879439738,5,2025-09-02,4
33,Raj Gupta,raj.gupta830@gmail.com,Lucknow,West Bengal,9513367028,28,2025-10-10,8
34,Diya Pillai,diya.pillai850@gmail.com,New Delhi,Delhi,9524557594,23,2024-08-24,1
35,Ishaan Nair,ishaan.nair528@gmail.com,Jaipur,Punjab,9405601898,37,2024-03-29,5
36,Anika Chatterjee,anika.chatterjee545@gmail.com,Chandigarh,Haryana,9120549776,42,2025-07-16,4
37,Raj Verma,raj.verma842@gmail.com,Indore,Uttar Pradesh,9347932256,17,2024-03-20,3
38,Aadhya Jain,aadhya.jain98@gmail.com,Bangalore,Tamil Nadu,9682589751,42,2024-12-08,10
39,Arjun Pillai,arjun.pillai801@gmail.com,Lucknow,West Bengal,9181309423,48,2025-02-09,5
40,Vivaan Joshi,vivaan.joshi902@gmail.com,Mumbai,Gujarat,9153945972,3,2024-11-18,6
41,Riya Mishra,riya.mishra73@gmail.com,Jaipur,Punjab,9666396035,49,2025-06-18,1
42,Aadhya Kumar,aadhya.kumar547@gmail.com,Chandigarh,Haryana,9720491889,0,2024-02-01,7
43,Arjun Joshi,arjun.joshi354@gmail.com,New Delhi,Delhi,9915713906,19,2025-09-09,4
44,Aadhya Yadav,aadhya.yadav590@gmail.com,Patna,Bihar,9312612445,2,2025-06-17,10
45,Krishna Chatterjee,krishna.chatterjee941@gmail.com,Chennai,Madhya Pradesh,9394356590,49,2025-05-22,6
46,Vivaan Pillai,vivaan.pillai681@gmail.com,Kochi,Rajasthan,9251570467,39,2025-06-11,10
47,Aarav Kapoor,aarav.kapoor66@gmail.com,Kochi,Rajasthan,9294041043,29,2025-02-22,6
48,Arjun Yadav,arjun.yadav41@gmail.com,Hyderabad,Kerala,9372750715,6,2025-06-15,1
49,Riya Rana,riya.rana539@gmail.com,Bangalore,Tamil Nadu,9477731875,28,2023-10-31,10
50,Isha Singh,isha.singh709@gmail.com,Kolkata,Telangana,9279527314,29,2024-08-26,3
51,Krishna Kumar,krishna.kumar403@gmail.com,Chandigarh,Haryana,9100713318,4,2025-02-14,10
52,Ishaan Das,ishaan.das27@gmail.com,Pune,Karnataka,9313590284,6,2024-07-17,9
53,Kavya Singh,kavya.singh123@gmail.com,Chennai,Madhya Pradesh,9825943536,4,2025-02-08,3
54,Vihaan Reddy,vihaan.reddy819@gmail.com,Bangalore,Tamil Nadu,9409278369,36,2025-02-10,4
55,Anika Jain,anika.jain296@gmail.com,Indore,Uttar Pradesh,9647705390,19,2024-08-24,5
56,Isha Sharma,isha.sharma899@gmail.com,Bangalore,Tamil Nadu,9221280086,19,2025-06-07,3
57,Raj Rana,raj.rana659@gmail.com,Kochi,Rajasthan,9499132883,44,2024-03-22,5
58,Vivaan Mishra,vivaan.mishra829@gmail.com,Jaipur,Punjab,9472885417,39,2024-12-01,4
59,Aarav Thakur,aarav.thakur312@gmail.com,Chandigarh,Haryana,9624322144,12,2025-09-26,10
60,Isha Gupta,isha.gupta860@gmail.com,Nagpur,Maharashtra,9136522620,3,2024-12-29,7
61,Arjun Yadav,arjun.yadav935@gmail.com,Indore,Uttar Pradesh,9734816147,27,2025-10-07,9
62,Riya Sharma,riya.sharma946@gmail.com,Bhubaneswar,Odisha,9775572700,30,2024-01-15,5
63,Arjun Nair,arjun.nair953@gmail.com,Mumbai,Gujarat,9847646705,43,2025-04-22,1
64,Rohan Kapoor,rohan.kapoor956@gmail.com,Hyderabad,Kerala,9158273158,26,2024-02-14,2
65,Priya Singh,priya.singh167@gmail.com,Bangalore,Tamil Nadu,9923166844,5,2025-08-03,8
66,Saanvi Mishra,saanvi.mishra853@gmail.com,Lucknow,West Bengal,9771513934,33,2024-06-12,10
67,Meera Reddy,meera.reddy704@gmail.com,Lucknow,West Bengal,9738503896,3,2025-09-15,10
68,Isha Ghosh,isha.ghosh705@gmail.com,Hyderabad,Kerala,9907112401,39,2024-11-04,8
69,Riya Gupta,riya.gupta249@gmail.com,Bhubaneswar,Odisha,9660720652,16,2025-06-21,9
70,Ishaan Mishra,ishaan.mishra147@gmail.com,Kochi,Rajasthan,9843950859,31,2024-10-30,4
71,Vivaan Nair,vivaan.nair636@gmail.com,Patna,Bihar,9592711677,12,2023-12-15,2
72,Arjun Jain,arjun.jain993@gmail.com,Jaipur,Punjab,9802640229,32,2025-08-24,5
73,Krishna Patel,krishna.patel897@gmail.com,Bhubaneswar,Odisha,9228220188,47,2025-02-22,7
74,Vihaan Bose,vihaan.bose797@gmail.com,Indore,Uttar Pradesh,9848924747,50,2025-07-25,9
75,Raj Joshi,raj.joshi839@gmail.com,Lucknow,West Bengal,9329161570,34,2025-03-17,1
76,Krishna Rana,krishna.rana296@gmail.com,Lucknow,West Bengal,9248708030,28,2024-01-11,1
77,Diya Jain,diya.jain495@gmail.com,Pune,Karnataka,9366567162,42,2025-04-15,1
78,Rohan Patel,rohan.patel622@gmail.com,Nagpur,Maharashtra,9747859434,46,2024-11-22,5
79,Priya Singh,priya.singh235@gmail.com,Pune,Karnataka,9575618066,33,2024-07-23,2
80,Rohan Kumar,rohan.kumar62@gmail.com,Kolkata,Telangana,9114680423,25,2024-08-01,3
81,Diya Kapoor,diya.kapoor281@gmail.com,Patna,Bihar,9886452608,19,2024-04-01,3
82,Vihaan Yadav,vihaan.yadav888@gmail.com,Chennai,Madhya Pradesh,9363281896,18,2024-08-08,4
83,Arjun Rana,arjun.rana668@gmail.com,Kochi,Rajasthan,9349145551,18,2024-01-27,7
84,Aadhya Rana,aadhya.rana65@gmail.com,Bangalore,Tamil Nadu,9941497867,29,2024-06-11,3
85,Rohan Gupta,rohan.gupta643@gmail.com,Lucknow,West Bengal,9892830916,48,2025-08-12,1
86,Riya Reddy,riya.reddy857@gmail.com,Pune,Karnataka,9781872643,10,2025-08-04,6
87,Ananya Bose,ananya.bose374@gmail.com,Jaipur,Punjab,9109671255,6,2024-02-13,7
88,Aditya Mishra,aditya.mishra335@gmail.com,Bhubaneswar,Odisha,9997930098,5,2025-04-05,2
89,Sai Mishra,sai.mishra623@gmail.com,Lucknow,West Bengal,9485583863,17,2024-10-17,8
90,Riya Joshi,riya.joshi495@gmail.com,Chennai,Madhya Pradesh,9338059985,29,2023-10-22,4
91,Meera Ghosh,meera.ghosh659@gmail.com,New Delhi,Delhi,9784741969,45,2025-05-15,5
92,Krishna Bose,krishna.bose755@gmail.com,New Delhi,Delhi,9853383096,50,2025-02-06,10
93,Vivaan Kumar,vivaan.kumar48@gmail.com,Bangalore,Tamil Nadu,9861507410,37,2023-11-13,2
94,Vivaan Kumar,vivaan.kumar503@gmail.com,Bangalore,Tamil Nadu,9398705825,19,2025-04-30,4
95,Rohan Mishra,rohan.mishra405@gmail.com,Hyderabad,Kerala,9923996500,9,2024-07-19,6
96,Sai Reddy,sai.reddy181@gmail.com,Kochi,Rajasthan,9611863556,13,2024-04-24,10
97,Vihaan Gupta,vihaan.gupta593@gmail.com,Kolkata,Telangana,9139327249,33,2025-01-20,8
98,Priya Mishra,priya.mishra199@gmail.com,Mumbai,Gujarat,9321370622,19,2025-01-26,2
99,Krishna Joshi,krishna.joshi76@gmail.com,Kolkata,Telangana,9341081314,17,2024-02-29,8
100,Aarav Kapoor,aarav.kapoor898@gmail.com,Nagpur,Maharashtra,9917395450,14,2025-01-24,9
101,Aditya Gupta,aditya.gupta394@gmail.com,Indore,Uttar Pradesh,9529723017,8,2024-05-02,2
102,Aadhya Kapoor,aadhya.kapoor801@gmail.com,Chennai,Madhya Pradesh,9194719503,18,2025-08-27,8
103,Kavya Yadav,kavya.yadav477@gmail.com,Mumbai,Gujarat,9296711943,40,2025-06-04,1
104,Isha Jain,isha.jain513@gmail.com,Pune,Karnataka,9758594846,44,2024-06-04,2
105,Diya Yadav,diya.yadav966@gmail.com,Pune,Karnataka,9299173925,50,2023-11-22,2
